Metricas de partida
===================
Fecha: 2026-05-25T08:40:52
Modo: pixeles
Saltos: 181
Tiempo total: 134.61 segundos
Tiempo primer-ultimo salto: 123.35 segundos
Puntaje final: 1402
cambios: 2
Eventos detectados
------------------
7.68s | detectado=pajaro | accion=saltar
7.81s | detectado=cactus | accion=saltar
7.95s | detectado=cactus | accion=saltar
11.05s | detectado=pajaro | accion=saltar
11.18s | detectado=cactus | accion=saltar
11.31s | detectado=cactus | accion=saltar
11.45s | detectado=cactus | accion=saltar
11.58s | detectado=cactus | accion=saltar
20.31s | detectado=cactus | accion=saltar
20.46s | detectado=cactus | accion=saltar
20.61s | detectado=cactus | accion=saltar
20.75s | detectado=cactus | accion=saltar
27.60s | detectado=cactus | accion=saltar
27.73s | detectado=cactus | accion=saltar
27.87s | detectado=cactus | accion=saltar
29.84s | detectado=pajaro | accion=saltar
29.98s | detectado=cactus | accion=saltar
30.11s | detectado=cactus | accion=saltar
31.86s | detectado=cactus | accion=saltar
32.01s | detectado=cactus | accion=saltar
32.14s | detectado=cactus | accion=saltar
33.77s | detectado=cactus | accion=saltar
33.91s | detectado=cactus | accion=saltar
34.06s | detectado=cactus | accion=saltar
35.54s | detectado=pajaro | accion=saltar
35.67s | detectado=cactus | accion=saltar
37.30s | detectado=cactus | accion=saltar
37.43s | detectado=cactus | accion=saltar
39.06s | detectado=cactus | accion=saltar
39.20s | detectado=cactus | accion=saltar
40.76s | detectado=cactus | accion=saltar
40.90s | detectado=cactus | accion=saltar
42.36s | detectado=cactus | accion=saltar
42.49s | detectado=cactus | accion=saltar
42.63s | detectado=cactus | accion=saltar
44.17s | detectado=pajaro | accion=saltar
44.32s | detectado=cactus | accion=saltar
44.45s | detectado=cactus | accion=saltar
45.85s | detectado=cactus | accion=saltar
45.98s | detectado=cactus | accion=saltar
46.12s | detectado=cactus | accion=saltar
47.38s | detectado=pajaro | accion=saltar
47.52s | detectado=cactus | accion=saltar
48.93s | detectado=cactus | accion=saltar
49.07s | detectado=cactus | accion=saltar
50.44s | detectado=cactus | accion=saltar
50.59s | detectado=cactus | accion=saltar
50.72s | detectado=cactus | accion=saltar
52.05s | detectado=cactus | accion=saltar
52.19s | detectado=cactus | accion=saltar
53.77s | detectado=pajaro | accion=saltar
53.90s | detectado=cactus | accion=saltar
55.48s | detectado=pajaro | accion=saltar
55.62s | detectado=cactus | accion=saltar
57.03s | detectado=cactus | accion=saltar
57.16s | detectado=cactus | accion=saltar
58.57s | detectado=pajaro | accion=saltar
58.71s | detectado=cactus | accion=saltar
60.21s | detectado=pajaro | accion=saltar
60.34s | detectado=cactus | accion=saltar
61.65s | detectado=cactus | accion=saltar
61.80s | detectado=cactus | accion=saltar
63.12s | detectado=cactus | accion=saltar
63.35s | detectado=cactus | accion=saltar
64.67s | detectado=pajaro | accion=saltar
64.80s | detectado=cactus | accion=saltar
66.16s | detectado=cactus | accion=saltar
66.29s | detectado=cactus | accion=saltar
67.54s | detectado=cactus | accion=saltar
67.67s | detectado=cactus | accion=saltar
68.82s | detectado=cactus | accion=saltar
68.96s | detectado=cactus | accion=saltar
70.24s | detectado=cactus | accion=saltar
70.39s | detectado=cactus | accion=saltar
71.72s | detectado=pajaro | accion=saltar
71.85s | detectado=cactus | accion=saltar
73.08s | detectado=cactus | accion=saltar
73.22s | detectado=cactus | accion=saltar
74.37s | detectado=cactus | accion=saltar
74.51s | detectado=cactus | accion=saltar
75.75s | detectado=pajaro | accion=saltar
75.89s | detectado=cactus | accion=saltar
77.06s | detectado=cactus | accion=saltar
77.19s | detectado=cactus | accion=saltar
78.22s | detectado=pajaro | accion=saltar
78.36s | detectado=cactus | accion=saltar
79.44s | detectado=cactus | accion=saltar
80.79s | detectado=pajaro | accion=saltar
80.93s | detectado=cactus | accion=saltar
