Metricas de partida
===================
Fecha: 2026-05-25T08:43:31
Modo: pixeles
Saltos: 158
Tiempo total: 118.96 segundos
Tiempo primer-ultimo salto: 99.56 segundos
Puntaje final: 1425
cambios:2

Eventos detectados
------------------
11.65s | detectado=pajaro | accion=saltar
11.80s | detectado=cactus | accion=saltar
11.94s | detectado=cactus | accion=saltar
13.97s | detectado=pajaro | accion=saltar
14.11s | detectado=cactus | accion=saltar
14.26s | detectado=cactus | accion=saltar
15.94s | detectado=cactus | accion=saltar
16.09s | detectado=cactus | accion=saltar
17.75s | detectado=cactus | accion=saltar
17.89s | detectado=cactus | accion=saltar
18.02s | detectado=cactus | accion=saltar
19.50s | detectado=pajaro | accion=saltar
19.64s | detectado=cactus | accion=saltar
21.16s | detectado=pajaro | accion=saltar
21.29s | detectado=cactus | accion=saltar
22.90s | detectado=cactus | accion=saltar
23.04s | detectado=cactus | accion=saltar
23.17s | detectado=cactus | accion=saltar
24.64s | detectado=cactus | accion=saltar
24.78s | detectado=cactus | accion=saltar
26.23s | detectado=cactus | accion=saltar
26.36s | detectado=cactus | accion=saltar
27.74s | detectado=pajaro | accion=saltar
27.88s | detectado=cactus | accion=saltar
29.31s | detectado=cactus | accion=saltar
29.44s | detectado=cactus | accion=saltar
30.78s | detectado=pajaro | accion=saltar
30.92s | detectado=cactus | accion=saltar
32.30s | detectado=cactus | accion=saltar
32.44s | detectado=cactus | accion=saltar
34.15s | detectado=pajaro | accion=saltar
34.29s | detectado=cactus | accion=saltar
36.07s | detectado=pajaro | accion=saltar
36.21s | detectado=cactus | accion=saltar
37.71s | detectado=cactus | accion=saltar
37.84s | detectado=cactus | accion=saltar
39.35s | detectado=pajaro | accion=saltar
39.48s | detectado=cactus | accion=saltar
40.88s | detectado=cactus | accion=saltar
41.01s | detectado=cactus | accion=saltar
42.30s | detectado=cactus | accion=saltar
42.44s | detectado=cactus | accion=saltar
43.66s | detectado=cactus | accion=saltar
43.79s | detectado=cactus | accion=saltar
44.79s | detectado=cactus | accion=saltar
44.93s | detectado=cactus | accion=saltar
46.13s | detectado=cactus | accion=saltar
46.27s | detectado=cactus | accion=saltar
47.56s | detectado=cactus | accion=saltar
47.69s | detectado=cactus | accion=saltar
48.92s | detectado=cactus | accion=saltar
49.06s | detectado=cactus | accion=saltar
49.21s | detectado=cactus | accion=saltar
50.33s | detectado=pajaro | accion=saltar
50.46s | detectado=cactus | accion=saltar
51.66s | detectado=cactus | accion=saltar
51.81s | detectado=cactus | accion=saltar
53.07s | detectado=cactus | accion=saltar
53.21s | detectado=cactus | accion=saltar
54.36s | detectado=pajaro | accion=saltar
54.50s | detectado=cactus | accion=saltar
55.65s | detectado=pajaro | accion=saltar
55.79s | detectado=cactus | accion=saltar
56.96s | detectado=cactus | accion=saltar
57.10s | detectado=cactus | accion=saltar
58.19s | detectado=cactus | accion=saltar
58.33s | detectado=cactus | accion=saltar
59.47s | detectado=cactus | accion=saltar
59.61s | detectado=cactus | accion=saltar
60.76s | detectado=cactus | accion=saltar
60.90s | detectado=cactus | accion=saltar
61.99s | detectado=cactus | accion=saltar
62.13s | detectado=cactus | accion=saltar
63.18s | detectado=cactus | accion=saltar
63.33s | detectado=cactus | accion=saltar
64.41s | detectado=cactus | accion=saltar
65.59s | detectado=cactus | accion=saltar
65.72s | detectado=cactus | accion=saltar
66.87s | detectado=cactus | accion=saltar
67.01s | detectado=cactus | accion=saltar
68.29s | detectado=cactus | accion=saltar
68.44s | detectado=cactus | accion=saltar
69.57s | detectado=cactus | accion=saltar
70.62s | detectado=pajaro | accion=saltar
70.76s | detectado=cactus | accion=saltar
70.91s | detectado=cactus | accion=saltar
71.05s | detectado=pajaro | accion=saltar
71.19s | detectado=pajaro | accion=saltar
71.33s | detectado=pajaro | accion=saltar
71.47s | detectado=pajaro | accion=saltar
71.61s | detectado=pajaro | accion=saltar
71.98s | detectado=cactus | accion=saltar
72.13s | detectado=pajaro | accion=saltar
72.27s | detectado=pajaro | accion=saltar
73.12s | detectado=cactus | accion=saltar
73.26s | detectado=cactus | accion=saltar
74.26s | detectado=cactus | accion=saltar
75.47s | detectado=cactus | accion=saltar
75.61s | detectado=cactus | accion=saltar
76.63s | detectado=cactus | accion=saltar
76.78s | detectado=cactus | accion=saltar
77.81s | detectado=cactus | accion=saltar
77.97s | detectado=cactus | accion=saltar
78.89s | detectado=cactus | accion=saltar
79.03s | detectado=cactus | accion=saltar
79.97s | detectado=cactus | accion=saltar
80.11s | detectado=cactus | accion=saltar
81.06s | detectado=cactus | accion=saltar
82.14s | detectado=pajaro | accion=saltar
82.27s | detectado=cactus | accion=saltar
83.20s | detectado=cactus | accion=saltar
84.28s | detectado=cactus | accion=saltar
85.37s | detectado=cactus | accion=saltar
85.50s | detectado=cactus | accion=saltar
86.53s | detectado=cactus | accion=saltar
87.60s | detectado=cactus | accion=saltar
87.73s | detectado=cactus | accion=saltar
88.66s | detectado=cactus | accion=saltar
88.79s | detectado=cactus | accion=saltar
89.71s | detectado=cactus | accion=saltar
89.84s | detectado=cactus | accion=saltar
90.74s | detectado=pajaro | accion=saltar
90.87s | detectado=cactus | accion=saltar
91.77s | detectado=cactus | accion=saltar
91.91s | detectado=cactus | accion=saltar
92.80s | detectado=cactus | accion=saltar
92.95s | detectado=cactus | accion=saltar
93.84s | detectado=pajaro | accion=saltar
93.98s | detectado=cactus | accion=saltar
94.85s | detectado=pajaro | accion=saltar
94.98s | detectado=cactus | accion=saltar
95.85s | detectado=cactus | accion=saltar
95.99s | detectado=cactus | accion=saltar
96.86s | detectado=cactus | accion=saltar
97.00s | detectado=cactus | accion=saltar
97.88s | detectado=cactus | accion=saltar
98.01s | detectado=cactus | accion=saltar
98.89s | detectado=cactus | accion=saltar
99.02s | detectado=cactus | accion=saltar
99.91s | detectado=cactus | accion=saltar
100.92s | detectado=cactus | accion=saltar
101.06s | detectado=cactus | accion=saltar
101.98s | detectado=cactus | accion=saltar
102.12s | detectado=cactus | accion=saltar
103.10s | detectado=cactus | accion=saltar
103.24s | detectado=cactus | accion=saltar
104.13s | detectado=cactus | accion=saltar
104.28s | detectado=cactus | accion=saltar
105.27s | detectado=pajaro | accion=saltar
106.26s | detectado=cactus | accion=saltar
107.25s | detectado=cactus | accion=saltar
108.16s | detectado=cactus | accion=saltar
109.13s | detectado=cactus | accion=saltar
109.27s | detectado=cactus | accion=saltar
110.10s | detectado=pajaro | accion=saltar
110.25s | detectado=cactus | accion=saltar
111.06s | detectado=cactus | accion=saltar
111.21s | detectado=cactus | accion=saltar
