Metricas de partida
===================
Fecha: 2026-05-25T08:45:52
Modo: pixeles
Saltos: 151
Tiempo total: 115.70 segundos
Tiempo primer-ultimo salto: 100.04 segundos
Puntaje final: 1429
cambios:2
Eventos detectados
------------------
8.20s | detectado=cactus | accion=saltar
8.34s | detectado=cactus | accion=saltar
9.85s | detectado=cactus | accion=saltar
9.99s | detectado=cactus | accion=saltar
11.64s | detectado=cactus | accion=saltar
11.77s | detectado=cactus | accion=saltar
11.90s | detectado=cactus | accion=saltar
13.49s | detectado=cactus | accion=saltar
13.63s | detectado=cactus | accion=saltar
13.76s | detectado=cactus | accion=saltar
15.40s | detectado=cactus | accion=saltar
15.53s | detectado=cactus | accion=saltar
15.66s | detectado=cactus | accion=saltar
17.20s | detectado=cactus | accion=saltar
17.34s | detectado=cactus | accion=saltar
18.80s | detectado=pajaro | accion=saltar
18.94s | detectado=cactus | accion=saltar
20.65s | detectado=pajaro | accion=saltar
20.80s | detectado=cactus | accion=saltar
22.35s | detectado=cactus | accion=saltar
22.49s | detectado=cactus | accion=saltar
23.85s | detectado=cactus | accion=saltar
23.98s | detectado=cactus | accion=saltar
25.41s | detectado=cactus | accion=saltar
25.56s | detectado=cactus | accion=saltar
25.70s | detectado=cactus | accion=saltar
27.03s | detectado=cactus | accion=saltar
27.17s | detectado=cactus | accion=saltar
28.55s | detectado=cactus | accion=saltar
28.69s | detectado=cactus | accion=saltar
30.34s | detectado=pajaro | accion=saltar
30.47s | detectado=cactus | accion=saltar
30.61s | detectado=cactus | accion=saltar
31.99s | detectado=cactus | accion=saltar
32.13s | detectado=cactus | accion=saltar
33.60s | detectado=cactus | accion=saltar
33.73s | detectado=cactus | accion=saltar
35.13s | detectado=cactus | accion=saltar
35.27s | detectado=cactus | accion=saltar
36.63s | detectado=cactus | accion=saltar
36.77s | detectado=cactus | accion=saltar
38.08s | detectado=cactus | accion=saltar
38.23s | detectado=cactus | accion=saltar
38.37s | detectado=cactus | accion=saltar
39.56s | detectado=cactus | accion=saltar
39.70s | detectado=cactus | accion=saltar
40.95s | detectado=cactus | accion=saltar
41.10s | detectado=cactus | accion=saltar
42.55s | detectado=pajaro | accion=saltar
42.69s | detectado=cactus | accion=saltar
44.01s | detectado=cactus | accion=saltar
44.15s | detectado=cactus | accion=saltar
45.46s | detectado=cactus | accion=saltar
45.59s | detectado=cactus | accion=saltar
46.87s | detectado=cactus | accion=saltar
47.01s | detectado=cactus | accion=saltar
48.29s | detectado=cactus | accion=saltar
48.43s | detectado=cactus | accion=saltar
49.64s | detectado=cactus | accion=saltar
49.78s | detectado=cactus | accion=saltar
51.02s | detectado=cactus | accion=saltar
51.15s | detectado=cactus | accion=saltar
52.50s | detectado=cactus | accion=saltar
52.64s | detectado=cactus | accion=saltar
53.92s | detectado=pajaro | accion=saltar
54.07s | detectado=cactus | accion=saltar
55.24s | detectado=cactus | accion=saltar
55.37s | detectado=cactus | accion=saltar
56.46s | detectado=cactus | accion=saltar
56.60s | detectado=cactus | accion=saltar
57.80s | detectado=cactus | accion=saltar
58.97s | detectado=cactus | accion=saltar
59.11s | detectado=cactus | accion=saltar
60.35s | detectado=pajaro | accion=saltar
60.49s | detectado=cactus | accion=saltar
61.65s | detectado=cactus | accion=saltar
61.78s | detectado=cactus | accion=saltar
62.84s | detectado=cactus | accion=saltar
62.97s | detectado=cactus | accion=saltar
64.04s | detectado=cactus | accion=saltar
64.19s | detectado=cactus | accion=saltar
65.34s | detectado=cactus | accion=saltar
66.52s | detectado=cactus | accion=saltar
66.75s | detectado=cactus | accion=saltar
67.84s | detectado=cactus | accion=saltar
67.98s | detectado=cactus | accion=saltar
69.17s | detectado=cactus | accion=saltar
69.32s | detectado=cactus | accion=saltar
70.40s | detectado=cactus | accion=saltar
70.54s | detectado=cactus | accion=saltar
71.58s | detectado=cactus | accion=saltar
72.68s | detectado=cactus | accion=saltar
73.87s | detectado=cactus | accion=saltar
74.02s | detectado=cactus | accion=saltar
75.04s | detectado=cactus | accion=saltar
76.10s | detectado=cactus | accion=saltar
76.24s | detectado=cactus | accion=saltar
77.31s | detectado=cactus | accion=saltar
77.45s | detectado=cactus | accion=saltar
78.44s | detectado=cactus | accion=saltar
78.58s | detectado=cactus | accion=saltar
79.67s | detectado=pajaro | accion=saltar
79.81s | detectado=cactus | accion=saltar
80.83s | detectado=cactus | accion=saltar
81.89s | detectado=cactus | accion=saltar
82.02s | detectado=cactus | accion=saltar
83.12s | detectado=cactus | accion=saltar
83.26s | detectado=cactus | accion=saltar
84.25s | detectado=cactus | accion=saltar
84.39s | detectado=cactus | accion=saltar
85.35s | detectado=cactus | accion=saltar
85.49s | detectado=cactus | accion=saltar
86.51s | detectado=cactus | accion=saltar
86.65s | detectado=cactus | accion=saltar
