Metricas de partida
===================
Fecha: 2026-05-25T08:48:14
Modo: pixeles
Saltos: 164
Tiempo total: 122.24 segundos
Tiempo primer-ultimo salto: 105.92 segundos
Puntaje final: 1544
cambios:2
Eventos detectados
------------------
9.34s | detectado=pajaro | accion=saltar
9.47s | detectado=cactus | accion=saltar
9.60s | detectado=cactus | accion=saltar
11.29s | detectado=cactus | accion=saltar
11.42s | detectado=cactus | accion=saltar
11.55s | detectado=cactus | accion=saltar
13.50s | detectado=pajaro | accion=saltar
13.63s | detectado=cactus | accion=saltar
13.78s | detectado=cactus | accion=saltar
15.46s | detectado=cactus | accion=saltar
15.60s | detectado=cactus | accion=saltar
17.13s | detectado=pajaro | accion=saltar
17.27s | detectado=cactus | accion=saltar
19.08s | detectado=cactus | accion=saltar
19.22s | detectado=cactus | accion=saltar
19.35s | detectado=cactus | accion=saltar
20.91s | detectado=cactus | accion=saltar
21.05s | detectado=cactus | accion=saltar
21.20s | detectado=cactus | accion=saltar
22.62s | detectado=cactus | accion=saltar
22.75s | detectado=cactus | accion=saltar
24.44s | detectado=pajaro | accion=saltar
24.57s | detectado=cactus | accion=saltar
24.71s | detectado=cactus | accion=saltar
26.14s | detectado=cactus | accion=saltar
26.27s | detectado=cactus | accion=saltar
27.75s | detectado=cactus | accion=saltar
27.89s | detectado=cactus | accion=saltar
28.02s | detectado=cactus | accion=saltar
29.40s | detectado=cactus | accion=saltar
29.53s | detectado=cactus | accion=saltar
30.98s | detectado=cactus | accion=saltar
31.12s | detectado=cactus | accion=saltar
32.52s | detectado=pajaro | accion=saltar
32.65s | detectado=cactus | accion=saltar
34.27s | detectado=pajaro | accion=saltar
34.40s | detectado=cactus | accion=saltar
35.92s | detectado=cactus | accion=saltar
36.07s | detectado=cactus | accion=saltar
37.52s | detectado=pajaro | accion=saltar
37.65s | detectado=cactus | accion=saltar
39.19s | detectado=pajaro | accion=saltar
39.33s | detectado=cactus | accion=saltar
40.67s | detectado=cactus | accion=saltar
40.81s | detectado=cactus | accion=saltar
41.99s | detectado=cactus | accion=saltar
42.14s | detectado=cactus | accion=saltar
43.39s | detectado=cactus | accion=saltar
43.52s | detectado=cactus | accion=saltar
44.74s | detectado=cactus | accion=saltar
44.89s | detectado=cactus | accion=saltar
46.32s | detectado=pajaro | accion=saltar
46.45s | detectado=cactus | accion=saltar
47.77s | detectado=cactus | accion=saltar
47.91s | detectado=cactus | accion=saltar
48.05s | detectado=cactus | accion=saltar
49.17s | detectado=pajaro | accion=saltar
49.31s | detectado=cactus | accion=saltar
50.51s | detectado=cactus | accion=saltar
50.64s | detectado=cactus | accion=saltar
51.84s | detectado=cactus | accion=saltar
51.97s | detectado=cactus | accion=saltar
53.32s | detectado=pajaro | accion=saltar
53.47s | detectado=cactus | accion=saltar
54.75s | detectado=pajaro | accion=saltar
54.90s | detectado=cactus | accion=saltar
56.05s | detectado=cactus | accion=saltar
56.19s | detectado=cactus | accion=saltar
57.24s | detectado=cactus | accion=saltar
57.38s | detectado=cactus | accion=saltar
58.52s | detectado=cactus | accion=saltar
58.66s | detectado=cactus | accion=saltar
59.82s | detectado=cactus | accion=saltar
59.96s | detectado=cactus | accion=saltar
61.26s | detectado=pajaro | accion=saltar
61.40s | detectado=cactus | accion=saltar
62.52s | detectado=pajaro | accion=saltar
62.65s | detectado=cactus | accion=saltar
63.73s | detectado=cactus | accion=saltar
64.91s | detectado=cactus | accion=saltar
65.05s | detectado=cactus | accion=saltar
66.20s | detectado=cactus | accion=saltar
66.35s | detectado=cactus | accion=saltar
67.42s | detectado=cactus | accion=saltar
67.57s | detectado=cactus | accion=saltar
68.63s | detectado=cactus | accion=saltar
68.79s | detectado=cactus | accion=saltar
69.80s | detectado=cactus | accion=saltar
69.95s | detectado=cactus | accion=saltar
70.90s | detectado=cactus | accion=saltar
71.05s | detectado=cactus | accion=saltar
72.08s | detectado=cactus | accion=saltar
72.23s | detectado=cactus | accion=saltar
73.21s | detectado=cactus | accion=saltar
73.36s | detectado=cactus | accion=saltar
74.40s | detectado=cactus | accion=saltar
74.55s | detectado=pajaro | accion=saltar
75.54s | detectado=cactus | accion=saltar
75.69s | detectado=cactus | accion=saltar
76.79s | detectado=cactus | accion=saltar
76.95s | detectado=cactus | accion=saltar
77.90s | detectado=pajaro | accion=saltar
78.04s | detectado=cactus | accion=saltar
78.99s | detectado=cactus | accion=saltar
79.12s | detectado=cactus | accion=saltar
80.14s | detectado=cactus | accion=saltar
80.27s | detectado=cactus | accion=saltar
81.25s | detectado=cactus | accion=saltar
81.38s | detectado=cactus | accion=saltar
82.47s | detectado=pajaro | accion=saltar
82.60s | detectado=cactus | accion=saltar
83.63s | detectado=cactus | accion=saltar
83.76s | detectado=cactus | accion=saltar
84.83s | detectado=pajaro | accion=saltar
84.97s | detectado=cactus | accion=saltar
85.92s | detectado=pajaro | accion=saltar
86.06s | detectado=cactus | accion=saltar
86.99s | detectado=cactus | accion=saltar
88.02s | detectado=pajaro | accion=saltar
88.16s | detectado=cactus | accion=saltar
89.07s | detectado=cactus | accion=saltar
89.20s | detectado=cactus | accion=saltar
90.15s | detectado=pajaro | accion=saltar
90.29s | detectado=cactus | accion=saltar
91.15s | detectado=cactus | accion=saltar
92.25s | detectado=pajaro | accion=saltar
92.38s | detectado=cactus | accion=saltar
93.32s | detectado=cactus | accion=saltar
93.46s | detectado=cactus | accion=saltar
94.39s | detectado=cactus | accion=saltar
94.52s | detectado=cactus | accion=saltar
95.52s | detectado=pajaro | accion=saltar
95.65s | detectado=cactus | accion=saltar
96.57s | detectado=cactus | accion=saltar
96.71s | detectado=cactus | accion=saltar
97.58s | detectado=cactus | accion=saltar
97.72s | detectado=cactus | accion=saltar
98.60s | detectado=cactus | accion=saltar
99.57s | detectado=cactus | accion=saltar
100.55s | detectado=cactus | accion=saltar
101.51s | detectado=cactus | accion=saltar
102.50s | detectado=cactus | accion=saltar
102.65s | detectado=cactus | accion=saltar
103.62s | detectado=pajaro | accion=saltar
103.75s | detectado=cactus | accion=saltar
104.62s | detectado=cactus | accion=saltar
105.60s | detectado=cactus | accion=saltar
106.50s | detectado=cactus | accion=saltar
107.45s | detectado=cactus | accion=saltar
107.60s | detectado=pajaro | accion=saltar
108.44s | detectado=cactus | accion=saltar
108.57s | detectado=cactus | accion=saltar
109.34s | detectado=cactus | accion=saltar
110.28s | detectado=cactus | accion=saltar
110.42s | detectado=cactus | accion=saltar
