Metricas de partida
===================
Fecha: 2026-05-25T08:55:17
Modo: pixeles
Saltos: 121
Tiempo total: 74.11 segundos
Tiempo primer-ultimo salto: 61.46 segundos
Puntaje final: 786
cambios:1
Eventos detectados
------------------
6.78s | detectado=cactus | accion=saltar
6.92s | detectado=cactus | accion=saltar
7.06s | detectado=cactus | accion=saltar
7.91s | detectado=cactus | accion=saltar
8.07s | detectado=cactus | accion=saltar
8.24s | detectado=cactus | accion=saltar
8.84s | detectado=cactus | accion=saltar
8.99s | detectado=cactus | accion=saltar
9.89s | detectado=cactus | accion=saltar
10.03s | detectado=cactus | accion=saltar
10.58s | detectado=cactus | accion=saltar
10.72s | detectado=cactus | accion=saltar
11.52s | detectado=cactus | accion=saltar
11.66s | detectado=cactus | accion=saltar
12.30s | detectado=cactus | accion=saltar
12.44s | detectado=cactus | accion=saltar
13.14s | detectado=cactus | accion=saltar
13.27s | detectado=cactus | accion=saltar
13.41s | detectado=cactus | accion=saltar
14.57s | detectado=cactus | accion=saltar
14.71s | detectado=cactus | accion=saltar
15.58s | detectado=cactus | accion=saltar
15.72s | detectado=cactus | accion=saltar
16.63s | detectado=cactus | accion=saltar
16.77s | detectado=cactus | accion=saltar
17.50s | detectado=cactus | accion=saltar
17.63s | detectado=cactus | accion=saltar
17.77s | detectado=cactus | accion=saltar
19.10s | detectado=cactus | accion=saltar
19.23s | detectado=cactus | accion=saltar
19.87s | detectado=cactus | accion=saltar
20.00s | detectado=cactus | accion=saltar
20.14s | detectado=cactus | accion=saltar
21.31s | detectado=cactus | accion=saltar
21.45s | detectado=cactus | accion=saltar
22.41s | detectado=cactus | accion=saltar
22.54s | detectado=cactus | accion=saltar
22.67s | detectado=cactus | accion=saltar
23.92s | detectado=cactus | accion=saltar
24.05s | detectado=cactus | accion=saltar
24.77s | detectado=cactus | accion=saltar
24.90s | detectado=cactus | accion=saltar
25.50s | detectado=cactus | accion=saltar
25.64s | detectado=cactus | accion=saltar
26.15s | detectado=cactus | accion=saltar
26.28s | detectado=cactus | accion=saltar
26.41s | detectado=cactus | accion=saltar
27.63s | detectado=cactus | accion=saltar
27.77s | detectado=cactus | accion=saltar
28.75s | detectado=cactus | accion=saltar
28.91s | detectado=cactus | accion=saltar
30.24s | detectado=cactus | accion=saltar
30.37s | detectado=cactus | accion=saltar
31.70s | detectado=cactus | accion=saltar
31.84s | detectado=cactus | accion=saltar
31.97s | detectado=cactus | accion=saltar
33.20s | detectado=cactus | accion=saltar
33.34s | detectado=cactus | accion=saltar
34.17s | detectado=cactus | accion=saltar
34.31s | detectado=cactus | accion=saltar
34.85s | detectado=cactus | accion=saltar
34.99s | detectado=cactus | accion=saltar
35.82s | detectado=cactus | accion=saltar
35.95s | detectado=cactus | accion=saltar
36.60s | detectado=cactus | accion=saltar
36.74s | detectado=cactus | accion=saltar
36.89s | detectado=cactus | accion=saltar
38.04s | detectado=cactus | accion=saltar
38.18s | detectado=cactus | accion=saltar
38.83s | detectado=cactus | accion=saltar
38.96s | detectado=cactus | accion=saltar
40.06s | detectado=cactus | accion=saltar
40.19s | detectado=cactus | accion=saltar
40.32s | detectado=cactus | accion=saltar
41.42s | detectado=cactus | accion=saltar
41.55s | detectado=cactus | accion=saltar
42.52s | detectado=cactus | accion=saltar
42.67s | detectado=cactus | accion=saltar
43.89s | detectado=cactus | accion=saltar
44.02s | detectado=cactus | accion=saltar
44.55s | detectado=cactus | accion=saltar
44.69s | detectado=cactus | accion=saltar
45.21s | detectado=cactus | accion=saltar
45.36s | detectado=cactus | accion=saltar
47.51s | detectado=cactus | accion=saltar
47.64s | detectado=cactus | accion=saltar
48.71s | detectado=cactus | accion=saltar
48.84s | detectado=cactus | accion=saltar
48.98s | detectado=cactus | accion=saltar
50.02s | detectado=cactus | accion=saltar
50.16s | detectado=cactus | accion=saltar
52.07s | detectado=cactus | accion=saltar
52.21s | detectado=cactus | accion=saltar
52.87s | detectado=cactus | accion=saltar
53.00s | detectado=cactus | accion=saltar
53.14s | detectado=cactus | accion=saltar
54.14s | detectado=pajaro | accion=saltar
54.28s | detectado=pajaro | accion=saltar
55.26s | detectado=cactus | accion=saltar
55.41s | detectado=cactus | accion=saltar
56.17s | detectado=cactus | accion=saltar
56.31s | detectado=cactus | accion=saltar
57.21s | detectado=cactus | accion=saltar
57.34s | detectado=cactus | accion=saltar
58.22s | detectado=pajaro | accion=saltar
58.36s | detectado=pajaro | accion=saltar
59.36s | detectado=cactus | accion=saltar
59.49s | detectado=cactus | accion=saltar
60.55s | detectado=cactus | accion=saltar
60.69s | detectado=cactus | accion=saltar
62.81s | detectado=cactus | accion=saltar
62.95s | detectado=cactus | accion=saltar
63.54s | detectado=cactus | accion=saltar
63.69s | detectado=cactus | accion=saltar
64.62s | detectado=cactus | accion=saltar
64.77s | detectado=cactus | accion=saltar
65.89s | detectado=cactus | accion=saltar
66.03s | detectado=cactus | accion=saltar
67.06s | detectado=cactus | accion=saltar
67.21s | detectado=cactus | accion=saltar
68.24s | detectado=pajaro | accion=saltar
