Metricas de partida
===================
Fecha: 2026-05-25T08:20:10
Modo: pixeles
Saltos: 470
Tiempo total: 275.90 segundos
Tiempo primer-ultimo salto: 266.80 segundos
Puntaje final: 4222
cambios fondo:6
Eventos detectados
------------------
6.12s | detectado=cactus | accion=saltar
6.27s | detectado=cactus | accion=saltar
6.45s | detectado=cactus | accion=saltar
6.94s | detectado=cactus | accion=saltar
7.08s | detectado=cactus | accion=saltar
7.24s | detectado=cactus | accion=saltar
7.92s | detectado=cactus | accion=saltar
8.06s | detectado=cactus | accion=saltar
8.21s | detectado=cactus | accion=saltar
9.09s | detectado=cactus | accion=saltar
9.22s | detectado=cactus | accion=saltar
9.36s | detectado=cactus | accion=saltar
10.09s | detectado=cactus | accion=saltar
10.23s | detectado=cactus | accion=saltar
10.37s | detectado=cactus | accion=saltar
11.06s | detectado=cactus | accion=saltar
11.19s | detectado=cactus | accion=saltar
11.34s | detectado=cactus | accion=saltar
11.85s | detectado=cactus | accion=saltar
11.98s | detectado=cactus | accion=saltar
12.13s | detectado=cactus | accion=saltar
12.93s | detectado=cactus | accion=saltar
13.09s | detectado=cactus | accion=saltar
13.87s | detectado=cactus | accion=saltar
14.03s | detectado=cactus | accion=saltar
14.58s | detectado=cactus | accion=saltar
14.74s | detectado=cactus | accion=saltar
15.58s | detectado=cactus | accion=saltar
15.71s | detectado=cactus | accion=saltar
15.87s | detectado=cactus | accion=saltar
16.62s | detectado=cactus | accion=saltar
16.75s | detectado=cactus | accion=saltar
16.90s | detectado=cactus | accion=saltar
17.81s | detectado=cactus | accion=saltar
17.94s | detectado=cactus | accion=saltar
18.66s | detectado=cactus | accion=saltar
18.82s | detectado=cactus | accion=saltar
18.97s | detectado=cactus | accion=saltar
19.62s | detectado=cactus | accion=saltar
19.75s | detectado=cactus | accion=saltar
19.89s | detectado=cactus | accion=saltar
20.33s | detectado=cactus | accion=saltar
20.49s | detectado=cactus | accion=saltar
21.08s | detectado=cactus | accion=saltar
21.23s | detectado=cactus | accion=saltar
21.38s | detectado=cactus | accion=saltar
23.17s | detectado=cactus | accion=saltar
23.33s | detectado=cactus | accion=saltar
24.12s | detectado=cactus | accion=saltar
24.28s | detectado=cactus | accion=saltar
25.16s | detectado=cactus | accion=saltar
25.31s | detectado=cactus | accion=saltar
25.46s | detectado=cactus | accion=saltar
27.07s | detectado=cactus | accion=saltar
27.20s | detectado=cactus | accion=saltar
27.34s | detectado=cactus | accion=saltar
28.52s | detectado=cactus | accion=saltar
28.66s | detectado=cactus | accion=saltar
28.79s | detectado=cactus | accion=saltar
28.93s | detectado=cactus | accion=saltar
30.50s | detectado=cactus | accion=saltar
30.65s | detectado=cactus | accion=saltar
31.05s | detectado=cactus | accion=saltar
31.20s | detectado=cactus | accion=saltar
31.35s | detectado=cactus | accion=saltar
32.78s | detectado=cactus | accion=saltar
32.93s | detectado=cactus | accion=saltar
33.56s | detectado=cactus | accion=saltar
33.72s | detectado=cactus | accion=saltar
34.67s | detectado=cactus | accion=saltar
34.81s | detectado=cactus | accion=saltar
35.89s | detectado=cactus | accion=saltar
36.05s | detectado=cactus | accion=saltar
36.21s | detectado=cactus | accion=saltar
37.88s | detectado=cactus | accion=saltar
38.04s | detectado=cactus | accion=saltar
38.19s | detectado=cactus | accion=saltar
39.68s | detectado=cactus | accion=saltar
39.81s | detectado=cactus | accion=saltar
40.73s | detectado=cactus | accion=saltar
40.88s | detectado=cactus | accion=saltar
41.04s | detectado=cactus | accion=saltar
42.63s | detectado=cactus | accion=saltar
42.79s | detectado=cactus | accion=saltar
42.94s | detectado=cactus | accion=saltar
43.97s | detectado=cactus | accion=saltar
