Metricas de partida
===================
Fecha: 2026-05-25T08:23:17
Modo: pixeles
Saltos: 152
Tiempo total: 52.55 segundos
Tiempo primer-ultimo salto: 34.90 segundos
Puntaje final: 56
cambios:0
Eventos detectados
------------------
11.87s | detectado=cactus | accion=saltar
12.03s | detectado=cactus | accion=saltar
12.19s | detectado=cactus | accion=saltar
24.88s | detectado=cactus | accion=saltar
25.04s | detectado=cactus | accion=saltar
25.19s | detectado=cactus | accion=saltar
25.33s | detectado=cactus | accion=saltar
25.48s | detectado=cactus | accion=saltar
25.62s | detectado=cactus | accion=saltar
25.76s | detectado=cactus | accion=saltar
25.91s | detectado=cactus | accion=saltar
26.04s | detectado=cactus | accion=saltar
26.18s | detectado=cactus | accion=saltar
26.32s | detectado=cactus | accion=saltar
26.46s | detectado=cactus | accion=saltar
26.61s | detectado=cactus | accion=saltar
26.74s | detectado=cactus | accion=saltar
26.88s | detectado=cactus | accion=saltar
27.01s | detectado=cactus | accion=saltar
27.15s | detectado=cactus | accion=saltar
27.30s | detectado=cactus | accion=saltar
27.44s | detectado=cactus | accion=saltar
27.60s | detectado=cactus | accion=saltar
27.74s | detectado=cactus | accion=saltar
27.89s | detectado=cactus | accion=saltar
28.02s | detectado=cactus | accion=saltar
28.17s | detectado=cactus | accion=saltar
28.34s | detectado=cactus | accion=saltar
28.48s | detectado=cactus | accion=saltar
28.62s | detectado=cactus | accion=saltar
28.77s | detectado=cactus | accion=saltar
28.92s | detectado=cactus | accion=saltar
29.07s | detectado=cactus | accion=saltar
29.22s | detectado=cactus | accion=saltar
29.36s | detectado=cactus | accion=saltar
29.51s | detectado=cactus | accion=saltar
29.66s | detectado=cactus | accion=saltar
29.80s | detectado=cactus | accion=saltar
29.95s | detectado=cactus | accion=saltar
30.11s | detectado=cactus | accion=saltar
30.25s | detectado=cactus | accion=saltar
30.40s | detectado=cactus | accion=saltar
30.55s | detectado=cactus | accion=saltar
30.70s | detectado=cactus | accion=saltar
30.86s | detectado=cactus | accion=saltar
31.00s | detectado=cactus | accion=saltar
31.14s | detectado=cactus | accion=saltar
31.28s | detectado=cactus | accion=saltar
31.43s | detectado=cactus | accion=saltar
31.58s | detectado=cactus | accion=saltar
31.72s | detectado=cactus | accion=saltar
31.86s | detectado=cactus | accion=saltar
32.00s | detectado=cactus | accion=saltar
32.15s | detectado=cactus | accion=saltar
32.29s | detectado=cactus | accion=saltar
32.45s | detectado=cactus | accion=saltar
32.59s | detectado=cactus | accion=saltar
32.73s | detectado=cactus | accion=saltar
32.87s | detectado=cactus | accion=saltar
33.01s | detectado=cactus | accion=saltar
33.15s | detectado=cactus | accion=saltar
33.30s | detectado=cactus | accion=saltar
33.43s | detectado=cactus | accion=saltar
33.58s | detectado=cactus | accion=saltar
33.72s | detectado=cactus | accion=saltar
33.86s | detectado=cactus | accion=saltar
34.00s | detectado=cactus | accion=saltar
34.14s | detectado=cactus | accion=saltar
34.30s | detectado=cactus | accion=saltar
34.44s | detectado=cactus | accion=saltar
34.58s | detectado=cactus | accion=saltar
34.72s | detectado=cactus | accion=saltar
34.86s | detectado=cactus | accion=saltar
35.01s | detectado=cactus | accion=saltar
35.14s | detectado=cactus | accion=saltar
35.28s | detectado=cactus | accion=saltar
35.43s | detectado=cactus | accion=saltar
35.57s | detectado=cactus | accion=saltar
35.71s | detectado=cactus | accion=saltar
35.86s | detectado=cactus | accion=saltar
36.04s | detectado=cactus | accion=saltar
36.18s | detectado=cactus | accion=saltar
36.32s | detectado=cactus | accion=saltar
36.47s | detectado=cactus | accion=saltar
36.61s | detectado=cactus | accion=saltar
36.77s | detectado=cactus | accion=saltar
36.91s | detectado=cactus | accion=saltar
37.06s | detectado=cactus | accion=saltar
37.21s | detectado=cactus | accion=saltar
37.35s | detectado=cactus | accion=saltar
37.50s | detectado=cactus | accion=saltar
37.65s | detectado=cactus | accion=saltar
37.80s | detectado=cactus | accion=saltar
37.94s | detectado=cactus | accion=saltar
38.08s | detectado=cactus | accion=saltar
38.23s | detectado=cactus | accion=saltar
38.37s | detectado=cactus | accion=saltar
38.52s | detectado=cactus | accion=saltar
38.67s | detectado=cactus | accion=saltar
38.81s | detectado=cactus | accion=saltar
38.95s | detectado=cactus | accion=saltar
39.10s | detectado=cactus | accion=saltar
39.25s | detectado=cactus | accion=saltar
39.38s | detectado=cactus | accion=saltar
39.54s | detectado=cactus | accion=saltar
39.68s | detectado=cactus | accion=saltar
39.82s | detectado=cactus | accion=saltar
39.97s | detectado=cactus | accion=saltar
40.10s | detectado=cactus | accion=saltar
40.24s | detectado=cactus | accion=saltar
40.39s | detectado=cactus | accion=saltar
40.53s | detectado=cactus | accion=saltar
40.68s | detectado=cactus | accion=saltar
40.82s | detectado=cactus | accion=saltar
40.98s | detectado=cactus | accion=saltar
41.12s | detectado=cactus | accion=saltar
41.27s | detectado=cactus | accion=saltar
41.41s | detectado=cactus | accion=saltar
41.55s | detectado=cactus | accion=saltar
41.69s | detectado=cactus | accion=saltar
