Metricas de partida
===================
Fecha: 2026-05-25T08:30:02
Modo: pixeles
Saltos: 123
Tiempo total: 79.64 segundos
Tiempo primer-ultimo salto: 61.44 segundos
Puntaje final: 795
cambios:1

Eventos detectados
------------------
7.54s | detectado=cactus | accion=saltar
7.69s | detectado=cactus | accion=saltar
8.34s | detectado=cactus | accion=saltar
8.48s | detectado=cactus | accion=saltar
9.09s | detectado=cactus | accion=saltar
9.24s | detectado=cactus | accion=saltar
10.13s | detectado=cactus | accion=saltar
10.26s | detectado=cactus | accion=saltar
10.91s | detectado=cactus | accion=saltar
11.05s | detectado=cactus | accion=saltar
11.51s | detectado=cactus | accion=saltar
11.65s | detectado=cactus | accion=saltar
12.23s | detectado=cactus | accion=saltar
12.37s | detectado=cactus | accion=saltar
12.50s | detectado=cactus | accion=saltar
13.02s | detectado=cactus | accion=saltar
13.17s | detectado=cactus | accion=saltar
13.94s | detectado=cactus | accion=saltar
14.09s | detectado=cactus | accion=saltar
14.22s | detectado=cactus | accion=saltar
14.91s | detectado=cactus | accion=saltar
15.05s | detectado=cactus | accion=saltar
15.19s | detectado=cactus | accion=saltar
15.81s | detectado=cactus | accion=saltar
15.96s | detectado=cactus | accion=saltar
16.83s | detectado=cactus | accion=saltar
16.96s | detectado=cactus | accion=saltar
17.65s | detectado=cactus | accion=saltar
17.79s | detectado=cactus | accion=saltar
18.54s | detectado=cactus | accion=saltar
18.68s | detectado=cactus | accion=saltar
18.81s | detectado=cactus | accion=saltar
20.34s | detectado=cactus | accion=saltar
20.49s | detectado=cactus | accion=saltar
20.62s | detectado=cactus | accion=saltar
21.95s | detectado=cactus | accion=saltar
22.10s | detectado=cactus | accion=saltar
22.80s | detectado=cactus | accion=saltar
22.94s | detectado=cactus | accion=saltar
23.62s | detectado=cactus | accion=saltar
23.75s | detectado=cactus | accion=saltar
24.78s | detectado=cactus | accion=saltar
24.92s | detectado=cactus | accion=saltar
25.06s | detectado=cactus | accion=saltar
26.88s | detectado=cactus | accion=saltar
27.01s | detectado=cactus | accion=saltar
27.16s | detectado=cactus | accion=saltar
27.35s | detectado=cactus | accion=saltar
28.38s | detectado=cactus | accion=saltar
28.51s | detectado=cactus | accion=saltar
28.66s | detectado=cactus | accion=saltar
30.06s | detectado=cactus | accion=saltar
30.20s | detectado=cactus | accion=saltar
30.34s | detectado=cactus | accion=saltar
31.48s | detectado=cactus | accion=saltar
31.64s | detectado=cactus | accion=saltar
31.77s | detectado=cactus | accion=saltar
32.76s | detectado=cactus | accion=saltar
32.90s | detectado=cactus | accion=saltar
33.05s | detectado=cactus | accion=saltar
34.76s | detectado=cactus | accion=saltar
34.90s | detectado=cactus | accion=saltar
35.46s | detectado=cactus | accion=saltar
35.60s | detectado=cactus | accion=saltar
35.75s | detectado=cactus | accion=saltar
37.16s | detectado=cactus | accion=saltar
37.30s | detectado=cactus | accion=saltar
37.99s | detectado=cactus | accion=saltar
38.13s | detectado=cactus | accion=saltar
38.26s | detectado=cactus | accion=saltar
39.41s | detectado=cactus | accion=saltar
39.55s | detectado=cactus | accion=saltar
40.19s | detectado=cactus | accion=saltar
40.34s | detectado=cactus | accion=saltar
40.48s | detectado=cactus | accion=saltar
42.05s | detectado=cactus | accion=saltar
42.18s | detectado=cactus | accion=saltar
43.73s | detectado=cactus | accion=saltar
43.87s | detectado=cactus | accion=saltar
44.49s | detectado=cactus | accion=saltar
44.63s | detectado=cactus | accion=saltar
46.18s | detectado=cactus | accion=saltar
46.32s | detectado=cactus | accion=saltar
46.93s | detectado=cactus | accion=saltar
47.06s | detectado=cactus | accion=saltar
47.56s | detectado=cactus | accion=saltar
47.70s | detectado=cactus | accion=saltar
48.97s | detectado=pajaro | accion=saltar
49.10s | detectado=pajaro | accion=saltar
50.47s | detectado=cactus | accion=saltar
50.60s | detectado=cactus | accion=saltar
50.73s | detectado=cactus | accion=saltar
52.36s | detectado=pajaro | accion=saltar
52.50s | detectado=pajaro | accion=saltar
53.78s | detectado=cactus | accion=saltar
53.91s | detectado=cactus | accion=saltar
54.04s | detectado=cactus | accion=saltar
55.49s | detectado=cactus | accion=saltar
55.63s | detectado=cactus | accion=saltar
56.25s | detectado=cactus | accion=saltar
56.39s | detectado=cactus | accion=saltar
56.91s | detectado=cactus | accion=saltar
57.05s | detectado=cactus | accion=saltar
58.31s | detectado=cactus | accion=saltar
58.45s | detectado=cactus | accion=saltar
59.83s | detectado=cactus | accion=saltar
59.97s | detectado=cactus | accion=saltar
61.38s | detectado=cactus | accion=saltar
61.51s | detectado=cactus | accion=saltar
62.05s | detectado=cactus | accion=saltar
62.18s | detectado=cactus | accion=saltar
62.73s | detectado=cactus | accion=saltar
62.86s | detectado=cactus | accion=saltar
63.62s | detectado=cactus | accion=saltar
63.75s | detectado=cactus | accion=saltar
64.77s | detectado=pajaro | accion=saltar
64.90s | detectado=pajaro | accion=saltar
66.23s | detectado=cactus | accion=saltar
66.37s | detectado=cactus | accion=saltar
66.50s | detectado=cactus | accion=saltar
67.76s | detectado=pajaro | accion=saltar
67.90s | detectado=pajaro | accion=saltar
68.98s | detectado=pajaro | accion=saltar
